,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,id
0,忘却にて,『ウマ娘 プリティーダービー』WINNING LIVE 08,Various Artists,2022-09-28,286920,34,7,1,0.641,0.293,0.85,0.0,0.241,-4.545,0.0323,120.97,4,0.455,1ugAfkCCGaQAwM5clYhTdM
1,雨の日の道玄坂,雨の日の道玄坂,Jin Dogg,2022-10-05,204258,44,9,1,0.445,0.565,0.403,0.000449,0.0929,-10.312,0.0464,96.971,4,0.598,5BgRefncnDOPMkGEWclLXv
2,不自然なガール,"Perfume The Best ""P Cubed""",Perfume,2019-09-18,239213,28,6,1,0.61,0.00972,0.94,0.161,0.114,-0.931,0.0283,130.023,4,0.853,0g0Ug1u0SVc12ley5WasVk
3,nirvana,nirvana,dodo,2021-01-20,263521,46,6,1,0.936,0.706,0.559,1.49e-06,0.164,-8.136,0.0456,109.991,4,0.6,0fhW9WT8OFwWoJXxaylQfE
4,school boiz,SPEEEED,levi,2022-03-30,203337,21,8,1,0.649,0.0473,0.906,0.000103,0.11,-5.32,0.0406,97.513,4,0.726,0p0it9QOHYk9FBby3LB8FE
5,green light,green light,TAHITI,2021-12-18,177612,10,6,0,0.542,0.26,0.898,0.0,0.288,-5.844,0.0542,91.934,4,0.856,0GXa91LcHo8e53odzKmZBk
6,NEO,R-RATED,STARKIDS,2020-12-19,161684,16,1,1,0.496,0.000342,0.873,0.0,0.0934,-4.43,0.0989,190.146,3,0.5,3rGj0ob4cno8nS4vCrPnPE
7,人芝居,人芝居,渕上 舞,2022-07-04,247506,59,6,0,0.674,0.241,0.87,0.0,0.0875,-3.607,0.0865,119.99,4,0.86,74sYtRs4LCDIpdBP8xDMSP
8,STAR ISLAND,R-RATED,STARKIDS,2020-12-19,192414,31,7,1,0.715,0.0275,0.735,0.0,0.307,-5.32,0.046,95.011,4,0.626,0C8FHQF3aHytupgs1UGKbm
9,Door,リローデッド,EGOIST,2015-11-11,334786,30,5,0,0.12,0.751,0.336,0.000377,0.127,-6.881,0.0335,84.464,4,0.0814,53MmtPvpScpwrk1Dr87yOG
10,Ghost of a smile,リローデッド,EGOIST,2015-11-11,324066,34,5,1,0.462,0.927,0.287,0.000774,0.0961,-7.812,0.0337,125.899,4,0.135,1pZLymms07WcWgtKdhg78k
11,Free Free Free - feat.幾田りら,Free Free Free (feat.幾田りら),Tokyo Ska Paradise Orchestra,2022-07-27,254233,54,4,0,0.615,0.0939,0.948,0.000441,0.0422,-2.149,0.0667,96.033,4,0.578,1yoIBbCENxL0dSkkhy88iB
12,もういらない,もういらない,Liza,2022-09-02,166000,35,6,0,0.691,0.0315,0.582,1.85e-06,0.0336,-6.108,0.0418,74.974,4,0.729,5lHUcQLVfpvLHcr7X43xiy
13,X,202020,EDWARD(我),2020-12-23,177000,29,0,1,0.61,0.101,0.667,5.64e-06,0.154,-7.536,0.118,174.946,4,0.188,4bBc7qBQAbNngMlOltbWr6
14,Jerry,Burr,rirugiliyangugili,2022-08-27,160052,27,0,0,0.637,0.508,0.674,0.0,0.638,-5.685,0.0585,158.929,3,0.658,2pA1xt4AyOY1YeLMSGULxG
15,Company Flow,COUNTER,WILYWNKA,2022-06-17,175781,33,11,1,0.426,0.0803,0.88,0.0,0.571,-4.852,0.365,190.313,4,0.644,2EnDbHaxE2HDJ0XrAWQitB
16,iina feat. ANARCHY,iina feat. ANARCHY,JP THE WAVY,2022-08-24,213920,43,1,1,0.591,0.000655,0.748,6.98e-05,0.0505,-7.062,0.124,155.018,4,0.533,1dKpLk4NuBezRALQuuhFmx
17,MUNASAWAGI,MUNASAWAGI,SKRYU,2022-08-05,156000,32,1,1,0.647,0.36,0.874,0.0,0.0584,-3.962,0.0458,154.959,4,0.886,2Lnyt7xkt6uRj68ZmR6r3x
18,Dip (feat. OZworld),Dip (feat. OZworld),TEMBA,2022-08-17,163431,40,2,0,0.743,0.071,0.765,0.000672,0.104,-4.43,0.05,160.05,4,0.606,2DnYSF1VMvpPYIVvcQ7jmp
19,Tenjiku,Memory Card of Love,昼想夜夢,2022-09-01,157146,23,2,1,0.672,0.48,0.707,0.0,0.236,-8.356,0.0389,86.96,4,0.437,6ixFsnjxtCxdGCVm0L7mTk
