name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
恋音と雨空,恋音と雨空,AAA,2013-09-04,316400,46,1,1,0.631,0.174,0.857,0,0.407,-4.7,0.0315,129.059,4,0.486,fall
風に吹かれても,風に吹かれても (Special Edition),Keyakizaka46,2017-10-25,221506,0,4,0,0.706,0.291,0.916,0,0.328,-2.609,0.115,125.927,4,0.886,fall
ユメマカセ,ユメマカセ,SOIL & “PIMP” SESSIONS,2017-08-23,227420,33,5,0,0.686,0.133,0.717,0.00000176,0.347,-6.583,0.173,89.964,4,0.708,fall
猫,僕たちがやりました,DISH//,2017-08-15,276040,67,3,1,0.506,0.113,0.769,0,0.0828,-5.326,0.0363,154.044,4,0.536,fall
金木犀の夜,タイム・ラプス,Kinokoteikoku,2018-09-12,245080,57,2,1,0.661,0.157,0.609,0.0011,0.106,-6.978,0.0281,125.961,4,0.489,fall
セプテンバーさん,RADWIMPS 3 ~無人島に持っていき忘れた一枚~,RADWIMPS,2006-02-15,307173,60,2,1,0.703,0.598,0.805,0,0.0732,-5.838,0.0294,123.069,4,0.871,fall
カタオモイ,daydream,Aimer,2016-09-21,207360,68,1,1,0.621,0.78,0.533,0,0.333,-5.974,0.0342,96.981,4,0.791,fall
ツキミソウ,ツキミソウ,Novelbright,2020-12-11,307609,60,6,1,0.481,0.413,0.611,0,0.255,-4.248,0.0354,155.788,4,0.436,fall
ドライフラワー,ドライフラワー,Yuuri,2020-10-25,285586,68,7,1,0.463,0.426,0.624,0,0.221,-5.118,0.0274,147.929,4,0.521,fall
キンモクセイ,イラつくときはいつだって,オレンジスパイニクラブ,2020-01-22,231933,59,5,1,0.544,0.092,0.761,0,0.18,-3.936,0.0362,105.035,4,0.322,fall
楓,フェイクファー,SPITZ,1998,325693,60,8,1,0.441,0.192,0.706,0.677,0.0847,-5.27,0.0287,80.108,4,0.463,fall
きらり,きらり,Fujii Kaze,2021-05-03,231882,66,2,1,0.746,0.00803,0.764,0,0.357,-6.833,0.0462,116.982,4,0.701,fall
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,2022-09-29,264126,73,2,1,0.622,0.0094,0.94,0.00000648,0.0957,-4.997,0.0413,158.056,4,0.96,fall
YOKAZE,ZURUMUKE,HENTAI SHINSHI CLUB,2021-06-16,269547,68,10,1,0.642,0.293,0.587,0,0.0784,-5.53,0.0268,89.96,4,0.361,fall
回る空うさぎ,Remindful.One,DAZBEE,2022-01-25,172753,58,1,1,0.764,0.545,0.339,0,0.116,-7.459,0.0336,119.992,4,0.74,fall
ヤングアダルト,hope,Macaroni Empitsu,2020-04-01,258158,62,3,1,0.744,0.334,0.831,0.00000271,0.0879,-4.8,0.0355,131.053,4,0.834,fall
夜に駆ける,夜に駆ける,YOASOBI,2019-12-15,261013,75,8,1,0.67,0.00231,0.874,0.0000172,0.3,-5.221,0.0305,130.041,4,0.789,fall
マヨイガ,マヨイガ,Hitsujibungaku,2021-07-07,319362,42,8,1,0.621,0.0859,0.607,0.134,0.116,-8.376,0.033,155.95,4,0.259,fall
残響散歌,残響散歌,Aimer,2021-12-06,184893,77,11,1,0.367,0.000627,0.896,0,0.207,-4.002,0.091,170.863,4,0.38,fall
Mela!,Mela!,Ryokuoushoku Shakai,2020-04-13,242066,73,8,1,0.619,0.0439,0.941,0.0000173,0.318,-1.618,0.0584,137.967,4,0.624,fall
茜色の約束,ライフアルバム,Ikimonogakari,2008-02-13,292120,0,7,1,0.563,0.0995,0.739,0,0.141,-4.046,0.0319,79.008,4,0.453,fall
会いたくて 会いたくて,to LOVE,Kana Nishino,2010-06-23,282026,51,5,0,0.708,0.503,0.667,0,0.171,-4.405,0.0352,109.967,4,0.518,fall
逢いたい理由,Dream After Dream ~夢から醒めた夢~/逢いたい理由,AAA,2010-05-05,274173,27,5,1,0.566,0.000159,0.938,0.000186,0.0954,-2.644,0.0375,115.974,4,0.311,fall
秒針を噛む,潜潜話,ZUTOMAYO,2019-10-29,260800,60,1,0,0.655,0.0197,0.962,0.00000556,0.253,-3.055,0.0443,129.902,4,0.775,fall
踊,踊,Ado,2021-04-27,208271,65,1,1,0.707,0.15,0.965,0.00000138,0.726,-0.736,0.105,128.003,4,0.777,fall
KICK BACK,KICK BACK,Kenshi Yonezu,2022-10-12,193495,79,1,1,0.577,0.00207,0.941,0.00000336,0.0891,-5.17,0.105,101.921,4,0.292,fall
Habit,Habit,SEKAI NO OWARI,2022-04-28,253153,76,10,0,0.749,0.203,0.85,0,0.18,-5.39,0.126,117.968,4,0.912,fall
エジソン,ネオン,WEDNESDAY CAMPANELLA,2022-05-25,193510,72,1,0,0.838,0.0195,0.729,0.0089,0.101,-5.733,0.0802,129.999,4,0.619,fall
シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,76,9,1,0.596,0.0748,0.735,0,0.269,-6.362,0.0332,108.106,4,0.524,fall
さよならエレジー,さよならエレジー,Masaki Suda,2018-01-07,258880,0,1,1,0.464,0.00408,0.938,0,0.152,-2.634,0.0519,154.964,4,0.636,fall
ミュージック,sakanaction,sakanaction,2013-03-13,322986,52,1,0,0.739,0.0778,0.641,0.00137,0.0934,-8.673,0.0363,136.022,4,0.681,fall
思想犯,思想犯,ヨルシカ,2020-06-24,252066,43,5,1,0.64,0.32,0.85,0.00243,0.178,-5.83,0.039,99.979,4,0.604,fall
幽霊東京,夜撫でるメノウ / 幽霊東京,Ayase,2021-09-08,210626,56,1,1,0.611,0.00249,0.928,0.00000702,0.106,-4.137,0.034,124.001,4,0.652,fall
憂、燦々,吹き零れる程のI、哀、愛,Creep Hyp,2013-07-24,250911,55,7,1,0.582,0.00167,0.829,0,0.0963,-3.713,0.0284,109.99,4,0.835,fall
会いたいわ,life ep,iri,2017-11-22,268320,51,9,1,0.744,0.437,0.557,0.00000225,0.0578,-4.776,0.0971,144.006,4,0.575,fall
月のしずく,Single Best,Ko Shibasaki,2008-03-12,287413,52,9,0,0.207,0.257,0.611,0.00000692,0.091,-5.984,0.0386,70.324,4,0.364,fall
三日月,First Message,ayaka,2006-11-01,279013,58,2,1,0.496,0.293,0.476,0,0.0771,-5.077,0.0266,143.758,4,0.405,fall
Lemon,Lemon,Kenshi Yonezu,2018-03-14,256105,54,11,1,0.532,0.366,0.661,0,0.354,-4.924,0.0268,86.983,4,0.446,fall
