name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
Chiquitita,Voulez-Vous,ABBA,1979,326320,75,9,1,0.5,0.734,0.554,0.00000372,0.312,-8.108,0.0354,84.229,4,0.372,spring
As It Was,As It Was,Harry Styles,2022-03-31,167303,96,6,0,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4,0.662,spring
春は溶けて,春は溶けて,indigo la End,2022-03-18,276929,47,11,0,0.65,0.194,0.829,0,0.35,-4.447,0.0511,125.996,4,0.634,spring
恋風邪にのせて,恋風邪にのせて,Vaundy,2022-03-07,255914,69,6,0,0.595,0.000064,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537,spring
俺たちのサーカス,俺たちのサーカス,Kazuyoshi Saito,2022-05-11,262600,26,2,1,0.442,0.028,0.893,0.0000811,0.358,-5.323,0.0363,81.974,4,0.827,spring
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,210772,73,0,1,0.653,0.194,0.809,0,0.165,-4.057,0.0474,92.213,4,0.55,spring
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,84,0,1,0.65,0.0215,0.825,0.0000244,0.0936,-4.645,0.0325,118.091,4,0.593,spring
DRIP DRY,HANGOUT,Nulbarich,2022-03-23,218186,34,7,1,0.724,0.0507,0.479,0.00694,0.0843,-7.226,0.0338,89.974,4,0.198,spring
bless,bless,Rin音,2022-04-06,280233,31,3,1,0.599,0.611,0.608,0.00000294,0.253,-6.265,0.0392,131.961,4,0.708,spring
COZY,COZY,chelmico,2021-04-02,206386,27,8,1,0.936,0.376,0.602,0.00000875,0.113,-4.782,0.0384,128.045,4,0.707,spring
Never Be Us,Views from the 23rd Floor,HRVY,2022-01-28,164106,55,9,0,0.679,0.242,0.852,0,0.127,-5.55,0.0975,120.055,4,0.612,spring
Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,84,1,1,0.795,0.0354,0.8,0.0000725,0.0915,-6.32,0.0309,116.032,4,0.934,spring
My Universe,Music Of The Spheres,Coldplay,2021-10-15,226198,82,1,0,0.573,0.0114,0.711,0,0.328,-6.268,0.0406,105.006,4,0.47,spring
Higher,Higher,the engy,2022-03-23,269909,35,11,1,0.685,0.145,0.727,0,0.324,-4.94,0.0956,107.885,4,0.635,spring
Spring Journal,Spring Journal,maco marets,2022-03-16,194122,21,0,1,0.81,0.589,0.585,0.845,0.103,-6.833,0.105,94.977,4,0.906,spring
世田谷代田,世田谷代田,Cody・Lee(李),2022-03-15,286112,29,3,1,0.762,0.109,0.734,0.00238,0.18,-6.64,0.0306,117.988,4,0.871,spring
君は幻,君は幻,Koki Okamoto,2022-03-30,207195,29,5,1,0.571,0.245,0.808,0.000373,0.324,-2.376,0.0317,97.034,4,0.764,spring
ショック!,アダプト,sakanaction,2022-03-30,308946,47,11,0,0.609,0.0702,0.959,0.561,0.192,-4.127,0.0875,136.005,4,0.845,spring
ラヴ・ソング,PEOPLE,PEOPLE 1,2021-11-24,205946,46,1,1,0.721,0.178,0.676,0,0.174,-5.735,0.0504,97.039,4,0.856,spring
Starstruck - SIRUP Remix,Starstruck (SIRUP Remix),Years & Years,2022-02-16,207289,46,9,0,0.614,0.0272,0.869,0,0.286,-2.165,0.0777,113.938,4,0.716,spring
Million Dollar Smoothies (From “American Song Contest”),Million Dollar Smoothies (From “American Song Contest”),courtship.,2022-03-28,163584,22,11,0,0.557,0.0297,0.729,0.00324,0.152,-5.826,0.0519,76.79,4,0.913,spring
青いの。,青いの。,go!go!vanillas,2022-03-16,247133,54,5,0,0.528,0.000292,0.773,0,0.113,-4.385,0.0427,118.927,4,0.652,spring
歓声をさがして,歓声をさがして,My Hair is Bad,2022-03-26,233173,43,3,1,0.498,0.00723,0.952,0,0.286,-3.841,0.0901,77.494,4,0.592,spring
アイライキュー,BEST ALBUM SUPERVILLAIN,Vickeblanka,2022-03-21,252213,46,11,1,0.637,0.161,0.594,0,0.387,-6.442,0.0884,104.883,4,0.487,spring
Loving Is Easy,Loving Is Easy,Rex Orange County,2017-10-11,155720,62,3,1,0.756,0.217,0.609,0.00482,0.0959,-7.927,0.0544,117.024,4,0.537,spring
Gentleman,The Kick,Foxes,2022-02-11,228800,29,0,1,0.616,0.00457,0.862,0.000197,0.361,-4.725,0.0432,103.038,4,0.511,spring
Don't Stop,Don't Stop,Blanks,2019-02-22,180963,35,11,0,0.847,0.00237,0.531,0.00000436,0.109,-5.173,0.0505,128.007,4,0.962,spring
SURPRISE,SURPRISE,CHAI,2022-05-03,202427,25,4,1,0.559,0.54,0.673,0,0.228,-5.792,0.127,96.914,4,0.707,spring
酔ひもせす,酔ひもせす/グッドラック,TOMOO,2022-03-30,222303,38,1,1,0.751,0.0593,0.715,0,0.108,-6.562,0.0502,131.972,4,0.615,spring
君の目を見てると,君の目を見てると,森 大翔,2022-04-13,316793,26,4,1,0.562,0.13,0.48,0,0.0745,-9.416,0.0346,92.969,4,0.138,spring
bloom,bloom,macico,2022-02-23,232000,21,0,1,0.722,0.141,0.802,0.000326,0.15,-5.411,0.0595,118.025,4,0.748,spring
空の青さにみせられて,空の青さにみせられて,I Don't Like Mondays.,2022-03-07,235307,45,1,1,0.614,0.0784,0.732,0,0.0405,-3.376,0.0336,129.07,4,0.43,spring
Go Do,Go,J?nsi,2010-04-05,280640,37,4,1,0.464,0.247,0.712,0.000135,0.598,-6.558,0.0453,139.995,4,0.338,spring
Toxic,Serotonin Dreams,BoyWithUke,2022-05-06,168066,79,11,1,0.609,0.749,0.619,0,0.264,-5.677,0.311,179.71,4,0.689,spring
Cupola,Cupola,cero,2022-03-30,228477,30,6,0,0.593,0.703,0.523,0.466,0.118,-10.199,0.0283,99.956,4,0.516,spring
