name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
夏色,ゆずイロハ1997-2017,YUZU,2017-04-26,200920,52,3,1,0.578,0.0229,0.913,0,0.0665,-3.01,0.0439,120.118,4,0.763,summer
青と夏,Attitude,Mrs. GREEN APPLE,2019-10-01,270026,66,4,1,0.31,0.00157,0.891,0,0.284,-1.66,0.0469,184.886,4,0.748,summer
LIFE,ZUSHI(13 TRACKS VERSION),Kimaguren,2008-07-16,257813,58,0,0,0.702,0.0907,0.934,0.00000501,0.231,-4.746,0.0433,126.99,4,0.795,summer
高嶺の花子さん,ラブストーリー,back number,2014-03-26,294813,65,9,1,0.54,0.066,0.923,0,0.124,-2.838,0.0623,137.977,4,0.343,summer
新宝島,834.194,sakanaction,2019-06-19,305000,57,7,0,0.551,0.0013,0.919,0.00638,0.352,-3.484,0.074,157.989,4,0.652,summer
HOT LIMIT,B☆E☆S☆T,T.M.Revolution,1996,220000,54,11,1,0.515,0.126,0.987,0.0000142,0.0908,-4.974,0.0535,137.781,4,0.873,summer
100万回の「I love you」,First Sight,Rake,2011-06-01,238013,60,8,1,0.566,0.175,0.886,0,0.254,-3.588,0.0425,113.966,4,0.537,summer
Slow & Easy,Slow & Easy,HIRAIDAI,2015-05-06,215120,59,0,1,0.663,0.634,0.807,0,0.0972,-4.229,0.0441,77.971,4,0.767,summer
猫,僕たちがやりました,DISH//,2017-08-15,276040,67,3,1,0.506,0.113,0.769,0,0.0828,-5.326,0.0363,154.044,4,0.536,summer
サママ・フェスティバル!,Mrs. GREEN APPLE,Mrs. GREEN APPLE,2017-01-11,263373,43,9,1,0.433,0.00339,0.971,0.0000414,0.0598,-0.9,0.0634,169.989,4,0.626,summer
ray,RAY,BUMP OF CHICKEN,2014-03-12,300680,56,3,1,0.61,0.00664,0.92,0,0.33,-3.704,0.0501,132.234,4,0.352,summer
シーソーケ?ーム~勇敢な恋の歌~,BOLERO,Mr.Children,1997-03-05,269866,58,4,1,0.594,0.142,0.852,0,0.358,-5.652,0.0291,135.06,4,0.781,summer
波乗りジョニー,TOP OF THE POPS,Keisuke Kuwata,2002-11-27,267966,49,2,1,0.483,0.0733,0.867,0,0.241,-5.546,0.0682,138.187,4,0.713,summer
Under the Sea,Disney Island Music,HIRAIDAI,2014-06-04,194013,50,0,1,0.661,0.046,0.836,0,0.429,-3.946,0.089,102.073,4,0.932,summer
シグナル,Everybody!!,WANIMA,2018-01-17,219530,62,8,1,0.562,0.00419,0.935,0,0.322,-2.365,0.0525,97.513,4,0.655,summer
GONG,COMINATCHA!!,WANIMA,2019-10-23,268456,57,6,1,0.555,0.00438,0.971,0,0.352,-2.16,0.0758,97.491,4,0.659,summer
ロマンチシズム,Attitude,Mrs. GREEN APPLE,2019-10-01,213613,62,10,1,0.598,0.0038,0.878,0,0.0468,-3.144,0.0634,125.529,4,0.901,summer
