name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
白い恋人達,TOP OF THE POPS,Keisuke Kuwata,2002-11-27,280700,50,7,1,0.417,0.524,0.613,0.00000148,0.199,-6.769,0.0288,74.788,4,0.365,winter
冬がはじまるよ,君は僕の宝物,Noriyuki Makihara,1992-06-25,230600,43,9,1,0.726,0.317,0.862,0,0.0841,-5.601,0.0362,131.04,4,0.722,winter
White Love,RISE,SPEED,1998-04-29,335360,51,6,1,0.662,0.149,0.903,0.00000163,0.307,-5.929,0.0554,110.971,4,0.436,winter
メリクリ,メリクリ,BoA,2004-12-01,332433,50,1,1,0.362,0.189,0.532,0,0.059,-6.708,0.0304,121.393,3,0.195,winter
Lovers Again,EXILE EVOLUTION,EXILE,2007-03-07,277366,55,8,0,0.649,0.577,0.842,0,0.116,-4.599,0.0622,91.983,4,0.653,winter
雪の華,LOVE,Mika Nakashima,2003-11-06,341973,0,11,1,0.452,0.74,0.293,0,0.153,-7.24,0.0283,143.451,4,0.149,winter
冬のうた,Kiroroのうた ①,Kiroro,2002-02-21,345086,34,2,1,0.478,0.901,0.309,0,0.194,-7.98,0.0259,74.018,4,0.334,winter
Everything,Everything,MISIA,2000-10-25,420000,0,1,1,0.527,0.504,0.531,0,0.109,-7.371,0.0334,131.892,4,0.3,winter
寒い夜だから・・・,TRF 20th Anniversary BEST SINGLE Collection × EZ DO DANCERCIZE,TRF,2013-12-25,305920,26,0,1,0.57,0.00179,0.954,0.00000496,0.0676,-3.416,0.0293,125.003,4,0.827,winter
恋人がサンタクロース,SURF & SNOW,Yumi Matsutoya,1980-12-01,305703,40,9,1,0.631,0.121,0.816,0,0.288,-6.208,0.0308,139.023,4,0.462,winter
ロマンスの神様,SUCCESS STORY,Kohmi Hirose,1993-12-16,269283,59,1,1,0.667,0.149,0.802,0.00000184,0.163,-6.495,0.0349,125.91,4,0.556,winter
ORION,VOICE,Mika Nakashima,2008-11-26,292800,0,11,1,0.526,0.158,0.482,0,0.352,-4.642,0.0286,143.763,4,0.44,winter
粉雪,HORIZON,Remioromen,2006-05-17,325773,57,7,1,0.482,0.246,0.702,0.0000331,0.233,-4.761,0.0256,82.031,4,0.232,winter
冬物語,冬物語,J SOUL BROTHERS III,2013-10-30,334333,41,6,1,0.547,0.179,0.68,0,0.109,-4.296,0.0329,79.942,4,0.475,winter
ヒロイン,シャンデリア,back number,2015-12-09,269786,60,7,1,0.431,0.209,0.598,0,0.218,-3.733,0.0296,76.18,4,0.356,winter
愛のうた,Kingdom,Kumi Koda,2008-01-30,291026,52,0,1,0.483,0.167,0.518,0,0.157,-6.802,0.0309,75.056,4,0.275,winter
流星,ALL SINGLES BEST 2,KOBUKURO,2007-06-13,307660,35,11,1,0.376,0.698,0.551,0.00000101,0.324,-5.037,0.0292,153.855,4,0.256,winter
雪の音,雪の音,GReeeeN,2012-01-01,305386,39,5,1,0.712,0.0647,0.681,0.00000515,0.0606,-5.814,0.0267,109,4,0.574,winter
プロローグ,プロローグ,Uru,2018-12-05,302346,0,0,1,0.436,0.483,0.69,0,0.0878,-5.136,0.0534,170.133,4,0.322,winter
ハピネス,INDEPENDENT,AI,2012-02-22,255760,57,2,1,0.642,0.0948,0.914,0,0.365,-3.316,0.115,94.004,4,0.448,winter
orion,orion,Kenshi Yonezu,2017-02-15,283333,0,8,1,0.675,0.107,0.662,0,0.0948,-4.094,0.0348,103.963,4,0.51,winter
スノーマジックファンタジー,Tree,SEKAI NO OWARI,2015-01-14,316066,47,2,1,0.579,0.132,0.831,0.397,0.126,-6.563,0.0452,125.001,4,0.669,winter
Ti Amo,The Birthday?Ti Amo?,EXILE,2008-09-24,345640,42,4,0,0.639,0.339,0.727,0.0000319,0.0513,-5.315,0.0403,88.966,4,0.649,winter
白雪姫,Flower,Flower,2014-01-22,272533,0,2,0,0.505,0.562,0.611,0,0.177,-5.003,0.0363,159.852,4,0.386,winter
Lil' Infinity,AAA Love Song Collection,AAA,2018-02-21,326066,35,1,1,0.636,0.616,0.722,0.0000021,0.235,-5.375,0.0278,117.993,4,0.566,winter
WILL,DEARS,Mika Nakashima,2014-11-05,323440,0,1,1,0.488,0.741,0.581,0.0000013,0.113,-6.247,0.0299,139.833,4,0.229,winter
M,LET'S GET CRAZY,PRINCESS PRINCESS,1988-11-21,275333,0,0,1,0.314,0.106,0.482,0.0000115,0.281,-12.015,0.0358,80.833,4,0.394,winter
あなたに逢いたくて~Missing You~,Vanity Fair,Seiko Matsuda,1996,330973,50,6,1,0.493,0.352,0.389,0,0.092,-10.042,0.0276,137.871,4,0.114,winter
Another Orion,Tears,Fumiya Fujii,1996,295333,45,7,0,0.277,0.746,0.296,0,0.109,-9.61,0.0294,146.27,4,0.0962,winter
悲しみは雪のように(live / 2011),"ON THE ROAD 2011 ""The Last Weekend""",Shogo Hamada,2012-09-19,325933,0,7,1,0.488,0.0556,0.802,0.000246,0.531,-5.784,0.0328,111.757,4,0.377,winter
ゲレンデがとけるほど恋したい,"広瀬香美 THE BEST ""Love Winters""",Kohmi Hirose,1998-11-11,313415,47,9,0,0.658,0.152,0.894,0.00000746,0.285,-4.974,0.0724,125.804,4,0.584,winter
クリスマス・イブ,Christmas Hearts,Chris Hart,2014-11-05,237440,34,11,1,0.566,0.134,0.823,0.0000015,0.164,-6.133,0.0348,117.992,4,0.515,winter
あなたのキスを数えましょう?You were mine? - 2020ver.,SPHERE?球宇宙?,Yuki Koyanagi,2020-07-01,357293,39,8,1,0.315,0.696,0.411,0,0.105,-6.335,0.0331,121.806,4,0.252,winter
クリスマスソング,シャンデリア,back number,2015-12-09,340080,64,4,1,0.404,0.128,0.705,0,0.123,-3.324,0.0315,154.02,4,0.42,winter
