name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
Keepin',Juice,iri,2018/2/28,250200,0,0.735,0.0801,0.746,0,0.0653,-4.733,0.166,124.97,4,0.699,evening
Rock With You,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,1995/6/16,220040,1,0.793,0.0794,0.741,0.00029,0.116,-6.494,0.0393,114.489,4,0.856,evening
comrade,DAPPER,SOIL & “PIMP” SESSIONS,2018/5/9,275733,1,0.685,0.402,0.722,0.00000555,0.0682,-5.696,0.0742,90.149,4,0.826,evening
That's My Baby,RIRI,RIRI,2018/2/14,195693,1,0.7,0.21,0.732,0,0.38,-3.967,0.0399,104.963,4,0.636,evening
ユメマカセ,ユメマカセ,SOIL & “PIMP” SESSIONS,2017/8/23,227420,0,0.686,0.133,0.717,0.00000176,0.347,-6.583,0.173,89.964,4,0.708,evening
東京ピエロ,White,Ohashi Trio,2012/9/19,331466,0,0.685,0.363,0.545,0.0000309,0.282,-6.432,0.0281,112.993,4,0.561,evening
半疑じゃない,Groove it,iri,2016/10/26,245080,0,0.715,0.119,0.688,0,0.107,-6.032,0.0315,106.981,4,0.552,evening
Goodbye to Your Love,IN YA MELLOW TONE 12,Various Artists,2016/5/18,280418,0,0.534,0.253,0.708,0.000299,0.152,-3.781,0.0538,87.863,4,0.863,evening
That's What I Like,24K Magic,Bruno Mars,2016/11/17,206693,1,0.853,0.013,0.56,0,0.0944,-4.961,0.0406,134.066,4,0.86,evening
Gun,The SHOW,LUCKY TAPES,2015/8/5,340506,1,0.681,0.102,0.594,0.00245,0.0504,-6.027,0.0508,89.993,4,0.938,evening
NEW ERA,NEW ERA,Nulbarich,2016/9/21,279000,0,0.614,0.043,0.759,0,0.121,-3.692,0.072,98.086,4,0.659,evening
What You Won't Do for Love,Indian Summer,Go West,1992/11/14,266800,0,0.59,0.293,0.803,0.0000149,0.0691,-7.088,0.0485,169.127,4,0.809,evening
Bounce Back,Juve The Great,JUVENILE,2003/1/1,253653,1,0.839,0.0721,0.945,0.0000377,0.118,-4.95,0.348,167.128,4,0.81,evening
ain't on the map yet,ain't on the map yet,Nulbarich,2018/2/21,272333,1,0.635,0.0417,0.823,0,0.225,-4.846,0.163,103.024,4,0.658,evening
Just the Two of Us,Winelight,"Grover Washington, Jr.",1980,443773,0,0.743,0.447,0.429,0.362,0.0455,-14.576,0.0902,95.406,4,0.597,evening
TOUCH,PLAY,Taichi Mukai,2017/8/23,184507,0,0.561,0.326,0.698,0,0.15,-7.188,0.105,146.049,4,0.506,evening
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016/9/23,237546,1,0.669,0.0106,0.832,0,0.0968,-5.721,0.0682,113.035,4,0.7,evening
Cruisin’ Cruisin’,23区,bonobos,2016/9/21,324026,0,0.648,0.615,0.533,0.00453,0.106,-8.26,0.0702,88.018,4,0.596,evening
What You Won't Do For Love,Bobby Caldwell,Bobby Caldwell,1978,285765,1,0.587,0.625,0.611,0.00337,0.243,-9.263,0.0878,83.902,4,0.779,evening
Lonely Lonely,dressing,LUCKY TAPES,2018/10/3,192266,1,0.554,0.117,0.756,0.00000865,0.153,-3.434,0.0716,184.046,4,0.819,evening
Answer,PURE,Taichi Mukai,2018/11/28,212159,0,0.701,0.0503,0.756,0,0.327,-4.404,0.0847,103.949,4,0.594,evening
Real Love - Kai Takahashi remix,Real Love (Kai Takahashi remix),Mizuki Ohira,2018/5/16,235375,1,0.826,0.402,0.611,0.000374,0.107,-3.292,0.0404,119.004,4,0.606,evening
Do Well,SIRUP EP2,SIRUP,2018/8/1,205237,1,0.78,0.131,0.723,0.00011,0.144,-8.365,0.0887,116.01,4,0.478,evening
Miree,THE BAY,Suchmos,2015/7/8,242600,0,0.717,0.0225,0.688,0,0.107,-5.886,0.027,124.015,4,0.715,evening
HUSH,MAKUAKE,eill,2018/10/3,223529,0,0.718,0.378,0.56,0,0.0761,-4.002,0.0404,97.95,4,0.688,evening
FLY,PLAY,Taichi Mukai,2017/8/23,200288,0,0.782,0.269,0.715,0,0.131,-7.124,0.0674,116.969,4,0.788,evening
High Times,Time Line,THREE1989,2017/8/23,226746,1,0.784,0.00826,0.747,0.00126,0.309,-5.058,0.0434,120.798,4,0.632,evening
Sunshine,Too Much Is Never Enough,FIVE NEW OLD,2018/1/31,203026,0,0.572,0.0405,0.852,0,0.332,-3.666,0.0881,180.156,4,0.777,evening
#goodday,Mellow Yellow,SPiCYSOL,2018/7/4,276366,1,0.81,0.139,0.65,0,0.118,-6.409,0.0756,93.999,4,0.392,evening
VOICE,Blank Envelope,Nulbarich,2019/2/6,245066,1,0.466,0.156,0.87,0,0.149,-3.455,0.419,205.707,4,0.508,evening
Magic!,k is s,Kan Sano,2016/12/7,292069,1,0.765,0.0671,0.924,0.0942,0.0631,-3.17,0.0442,111.997,4,0.812,evening
SWIM,FEEL GOOD,SIRUP,2019/5/29,243933,1,0.645,0.488,0.584,0,0.104,-5.889,0.1,87.853,4,0.861,evening
パスワード,"M-P-C ""Mentality, Physicality, Computer""",Tomita Lab.,2018/10/3,272666,0,0.691,0.519,0.759,0.000211,0.106,-6.516,0.0836,82,4,0.808,evening
SIST,Mellow Yellow,SPiCYSOL,2018/7/4,189966,0,0.748,0.0312,0.762,0.0881,0.102,-5.54,0.0401,115.006,4,0.862,evening
