,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,Still...,ウラ嵐BEST 1999-2007,ARASHI,2021-07-16,257717,52,2,1,0.736,0.0708,0.867,0.0,0.302,-3.816,0.0286,124.028,4,0.86,evening
1,"Love, Maybe","Love, Maybe (A Business Proposal OST Special Track)",MeloMance,2022-02-18,185000,68,8,1,0.402,0.508,0.731,0.0,0.146,-3.529,0.0693,171.594,4,0.631,evening
2,"Love, Maybe (Acoustic Ver.)","Love, Maybe (A Business Proposal OST Bonus Track)",KIMSEJEONG,2022-04-05,171680,61,10,1,0.614,0.482,0.513,0.0,0.114,-5.442,0.0291,86.005,4,0.336,evening
3,W / X / Y,Memories,Tani Yuuki,2021-12-08,278118,76,2,1,0.628,0.159,0.775,0.0,0.33,-4.479,0.0535,106.382,3,0.674,evening
4,バニラ,バニラ,Kyanai,2022-03-09,251050,72,10,1,0.641,0.028,0.698,0.0,0.13,-3.934,0.0307,113.041,4,0.521,evening
5,あぁ、もう。,サニーボトル,Saucy Dog,2022-07-06,284335,60,4,1,0.688,0.317,0.61,0.0,0.123,-7.469,0.0311,112.124,4,0.649,evening
6,レンズ,レンズ,Lilas Ikuta,2022-06-14,238536,63,2,1,0.539,0.387,0.435,0.0,0.182,-5.455,0.0428,163.986,4,0.334,evening
7,ハート,ハート,Aimyon,2021-10-20,271280,64,6,1,0.661,0.543,0.448,0.0,0.0818,-5.761,0.0522,78.114,4,0.299,evening
8,愛を伝えたいだとか,青春のエキサイトメント,Aimyon,2017-09-12,235240,65,2,1,0.673,0.0345,0.85,1.14e-05,0.0943,-5.021,0.0337,100.008,4,0.793,evening
9,愛とか恋とか,Assort,Novelbright,2022-05-16,232453,72,6,1,0.697,0.698,0.556,0.0,0.0991,-5.089,0.0364,89.987,4,0.404,evening
10,シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,76,9,1,0.596,0.0748,0.735,0.0,0.269,-6.362,0.0332,108.106,4,0.524,evening
11,なんでもないや - movie ver.,君の名は。,RADWIMPS,2016-08-24,344053,56,6,1,0.489,0.254,0.461,0.0,0.284,-6.164,0.032,168.126,4,0.487,evening
12,なんでもないよ、,なんでもないよ、,Macaroni Empitsu,2021-11-03,218751,66,4,1,0.597,0.278,0.525,0.0,0.0692,-6.039,0.0519,171.561,4,0.589,evening
13,逃避行,逃避行,imase,2022-01-30,191689,59,5,1,0.926,0.812,0.383,0.00238,0.254,-7.729,0.0776,134.076,4,0.39,evening
14,Have a nice day,Have a nice day,imase,2021-12-19,175693,64,5,1,0.85,0.371,0.591,3.99e-06,0.117,-4.73,0.0386,94.018,4,0.564,evening
15,いつか,カントリーロード,Saucy Dog,2017-05-24,274871,70,7,1,0.603,0.0941,0.509,0.0,0.201,-4.535,0.0263,79.989,4,0.445,evening
16,結,テイクミー,Saucy Dog,2020-09-02,264840,67,6,1,0.53,0.224,0.661,0.0,0.169,-7.09,0.0408,153.935,4,0.538,evening
17,シャッター,壱,Yuuri,2022-01-12,248946,71,5,1,0.606,0.512,0.579,0.0,0.381,-5.582,0.033,149.988,4,0.661,evening
18,NIGHT DANCER,NIGHT DANCER,imase,2022-08-19,210948,71,7,0,0.911,0.0945,0.585,0.0,0.134,-8.078,0.0735,117.06,4,0.851,evening
19,ビンテージ,Traveler,Official HIGE DANdism,2019-10-09,252565,53,2,1,0.449,0.204,0.819,0.0,0.289,-5.169,0.0513,180.019,4,0.507,evening
