,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,Bluma to Lunch,BLOOM SQUAD,BLOOM VASE,2020-12-19,159040,61,7,1,0.756,0.034,0.726,0.000455,0.119,-5.388,0.0489,123.98,4,0.792,morning
1,Yessir,Jungle,¥ellow Bucks,2020-08-21,172389,63,10,0,0.803,0.184,0.588,0.0,0.0792,-4.68,0.0641,89.973,4,0.571,morning
2,My Resort,Jungle,¥ellow Bucks,2020-08-21,132813,60,9,1,0.824,0.0314,0.752,3.93e-06,0.122,-4.496,0.035,117.991,4,0.739,morning
3,With My Way,Excuse Me,¥ellow Bucks,2019-10-31,143150,53,4,1,0.798,0.127,0.695,1.71e-06,0.0734,-5.897,0.0599,154.022,4,0.543,morning
4,Good Vibes Only,Good Vibes Only,SALU,2018-07-11,202809,45,3,1,0.743,0.561,0.818,0.0,0.109,-4.844,0.215,166.125,4,0.914,morning
5,Longiness,Longiness,SugLawd Familiar,2020-10-21,187741,53,7,1,0.794,0.342,0.56,0.0,0.0799,-5.776,0.183,87.003,4,0.424,morning
6,dream life,dream life,Nao,2019-04-20,173100,42,10,1,0.763,0.555,0.74,0.0,0.0474,-6.047,0.0436,155.078,4,0.801,morning
7,Ocean View,Mobb Life,BAD HOP,2017-09-06,256435,21,11,1,0.665,0.0398,0.782,0.0,0.224,-4.361,0.0574,137.717,4,0.605,morning
8,Kawasaki Drift,BAD HOP HOUSE,BAD HOP,2018-06-15,277307,51,10,0,0.739,0.0119,0.679,0.0,0.127,-5.411,0.281,176.142,4,0.345,morning
9,PLAYBOY,Sounds Good,CREAM,2018-09-19,200268,53,5,1,0.855,0.106,0.657,0.0,0.0803,-4.856,0.0599,99.037,4,0.669,morning
10,2018,BAD HOP HOUSE,BAD HOP,2018-06-15,129987,39,1,1,0.839,0.0192,0.5,1.74e-06,0.0605,-6.909,0.266,149.978,4,0.189,morning
11,Super Car,Mobb Life,BAD HOP,2017-09-06,216001,14,10,0,0.611,0.0763,0.656,0.0,0.0933,-6.305,0.13,139.975,4,0.347,morning
12,Asian Doll,Mobb Life,BAD HOP,2017-09-06,286879,21,3,0,0.767,0.0182,0.69,0.0,0.118,-4.711,0.0582,140.051,4,0.294,morning
13,夏の思い出,ケツノポリス3,Ketsumeishi,2003-10-01,391733,53,11,1,0.686,0.171,0.909,0.0,0.553,-4.193,0.0541,94.009,4,0.818,morning
14,俺と一緒になってくれ,HOPE,心之助,2018-07-18,279933,41,0,1,0.659,0.75,0.651,0.0,0.212,-5.427,0.038,84.984,4,0.593,morning
15,100MILLION - REMIX,100MILLION (REMIX),舐達麻,2019-12-06,254574,51,5,0,0.506,0.171,0.681,2.47e-06,0.101,-5.967,0.355,83.379,4,0.768,morning
16,"I'm ""T""",THE MESSAGE Ⅲ,MC Tyson,2020-12-18,124090,52,6,1,0.707,0.222,0.817,0.0,0.0591,-3.943,0.0741,88.018,4,0.75,morning
17,STRANGER,COSMO WORLD,LEX,2021-07-21,218666,0,5,1,0.819,0.292,0.572,0.0,0.225,-5.931,0.0878,134.957,4,0.909,morning
18,水平線,水平線,back number,2021-08-13,285396,75,10,1,0.419,0.011,0.75,0.0,0.159,-3.546,0.0316,145.867,4,0.436,morning
19,UP IN SMOKE,磊,MONYPETZJNKMN,2017-05-17,248119,4,9,0,0.655,0.254,0.78,0.0,0.662,-3.675,0.146,82.992,4,0.626,morning
20,BANANA,LOVE + PARTY,CREAM,2019-12-25,177050,54,11,1,0.869,0.603,0.81,0.0,0.0672,-5.153,0.0453,100.005,4,0.928,morning
21,Dear Family,Dear Family,Red Eye,2019-05-08,199577,0,9,1,0.43,0.0265,0.744,0.0,0.104,-5.078,0.194,170.539,4,0.315,morning
22,was good day - Remix,was good day (Remix),罰当,2018-08-30,193392,45,9,1,0.748,0.209,0.702,0.0,0.0526,-4.312,0.0452,91.98,4,0.432,morning
23,噂のBITCH,Uncensored,SLOTH,2017-09-13,219999,0,5,1,0.612,0.403,0.777,0.0,0.732,-5.294,0.321,92.979,4,0.622,morning
24,BAKI,Soul Plane,KOH,2020-02-07,166000,45,5,1,0.82,0.314,0.716,0.0,0.0938,-5.564,0.0903,107.017,4,0.387,morning
25,悪我鬼,悪我鬼,Eric.B.Jr,2019-09-19,169134,46,3,0,0.824,0.136,0.644,0.0,0.085,-4.059,0.0856,99.981,4,0.555,morning
26,Phone,Phone,HITOMIN,2019-07-20,178500,58,2,1,0.819,0.208,0.478,7.93e-05,0.103,-7.828,0.0364,99.988,4,0.236,morning
27,body,body,HITOMIN,2019-07-14,208048,46,3,0,0.649,0.517,0.471,0.000367,0.138,-8.102,0.0322,82.015,4,0.181,morning
28,Chill桜,Chill,TOM,2020-09-04,185859,42,0,1,0.791,0.481,0.649,0.0,0.112,-7.483,0.0495,95.014,4,0.551,morning
29,BUDS MONTAGE,BUDS MONTAGE,Various Artists,2020-07-30,286759,55,11,0,0.609,0.336,0.728,0.0,0.144,-6.649,0.331,83.323,4,0.558,morning
30,Bando,CookieTape vol.2,Cookie Plant,2020-09-27,164661,44,1,1,0.691,0.0572,0.833,0.0,0.193,-6.251,0.0472,102.115,4,0.607,morning
31,Benz i Lauren,XD (SIDE-D),week dudus,2019-12-30,142972,45,2,1,0.969,0.0948,0.679,0.00638,0.113,-6.29,0.271,120.021,4,0.563,morning
32,If I Die,LIVE : live,AK-69,2020-08-02,286106,40,11,0,0.688,0.0962,0.647,0.0,0.148,-5.142,0.0496,90.031,4,0.137,morning
