,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,Catch the Moment,Catch the Moment,LiSA,2017-02-15,282813,0,7,1,0.392,0.0158,0.984,6.26e-06,0.311,-1.058,0.123,190.059,4,0.468,noon
1,ミックスナッツ,ミックスナッツ,Official HIGE DANdism,2022-04-15,213438,74,6,1,0.542,0.0101,0.918,0.0,0.259,-5.074,0.0937,150.094,4,0.784,noon
2,ヒロイン育成計画,ヒロイン育成計画,HoneyWorks,2022-06-24,218266,34,7,1,0.597,0.0173,0.901,0.00325,0.287,-1.964,0.0823,180.014,4,0.84,noon
3,adrenaline!!!,TAILWIND,TrySail,2017-08-23,274146,0,7,1,0.603,0.125,0.959,1.53e-05,0.301,-2.003,0.0566,133.927,4,0.884,noon
4,シンデレラ,SODA POP FANCLUB 4,Cidergirl,2021-12-01,213053,55,7,1,0.58,0.00968,0.941,0.0,0.317,-3.799,0.0595,129.988,4,0.769,noon
5,ロメオ,どっちのkissか、選べよ。,LIP×LIP,2019-01-16,316720,48,0,1,0.427,0.017,0.846,1.01e-05,0.396,-3.809,0.0639,139.992,4,0.67,noon
6,花の塔,花の塔,Sayuri,2022-07-03,275614,67,9,1,0.486,0.0242,0.948,0.0286,0.137,-1.59,0.122,170.015,4,0.507,noon
7,新時代 - ウタ from ONE PIECE FILM RED,新時代 (ウタ from ONE PIECE FILM RED),Ado,2022-06-08,228214,78,7,1,0.494,0.0505,0.986,4.41e-06,0.334,-2.262,0.243,175.003,4,0.421,noon
8,私は最強 - ウタ from ONE PIECE FILM RED,私は最強 (ウタ from ONE PIECE FILM RED),Ado,2022-06-22,257915,72,4,1,0.574,0.205,0.858,0.0,0.344,-2.911,0.0469,95.954,4,0.658,noon
9,青と夏,青と夏,Mrs. GREEN APPLE,2018-07-12,270506,61,4,1,0.31,0.00184,0.887,0.0,0.291,-1.654,0.0463,184.91,4,0.745,noon
10,ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,77,7,1,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.0468,109.976,4,0.784,noon
