Column1,name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,欲望に満ちた青年団,ゼイタクビョウ,ONE OK ROCK,2007/11/21,202200,1,0.554,0.0479,0.752,0,0.364,-5.473,0.0303,87.985,4,0.694,1
1,リップサービス,ライトアップ,The Floor,2019/10/30,207498,1,0.494,0.00138,0.845,0.00000354,0.249,-3.974,0.0601,153.926,4,0.831,1
2,Answer,Answer,Lilas Ikuta,2021/3/9,246000,1,0.622,0.512,0.475,0,0.127,-6.199,0.036,79.954,4,0.388,1
3,Bye by me,strobo,Vaundy,2020/5/27,242415,1,0.634,0.375,0.655,0.0000141,0.109,-4.333,0.0229,96.016,4,0.691,1
4,怪獣の花唄,strobo,Vaundy,2020/5/27,224806,1,0.425,0.00361,0.939,0,0.331,-3.498,0.054,150.015,4,0.638,1
5,Impact,BEST,CHEHON,2016/5/25,291440,0,0.806,0.408,0.863,0,0.0755,-2.679,0.0518,122.03,4,0.928,1
6,君と羊と青,絶体絶命,RADWIMPS,2011/3/9,158186,1,0.412,0.00011,0.964,0.00052,0.157,-2.274,0.101,164.042,4,0.778,1
7,ユースレスマシン,ユースレスマシン,Humbreaders,2020/2/19,212413,0,0.459,0.00439,0.913,0,0.106,-4.163,0.0981,98.288,4,0.58,1
8,クラッカー・シャドー,クラッカー・シャドー,Kiro Akiyama,2019/6/19,277717,0,0.65,0.000548,0.828,0.00000689,0.119,-4.91,0.0722,122.012,4,0.727,1
9,Answer,Answer,Takaya Kawasaki,2021/3/22,248000,1,0.534,0.667,0.267,0,0.275,-9.943,0.0296,80.089,4,0.474,1
10,Bluma to Lunch,BLOOM SQUAD,BLOOM VASE,2020/12/19,159040,1,0.756,0.034,0.726,0.000455,0.119,-5.388,0.0489,123.98,4,0.792,1
11,グーの音,オーダーメイド,RADWIMPS,2008/1/23,169746,0,0.602,0.00161,0.935,0.0000154,0.335,-2.813,0.0461,104.021,4,0.843,1
12,05410-(ん),RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006/12/6,190453,1,0.599,0.000138,0.961,0.00000449,0.122,-2.843,0.0464,130.049,4,0.794,1
13,サイハテアイニ,ANTI ANTI GENERATION,RADWIMPS,2018/12/12,221160,1,0.247,0.000692,0.976,0,0.344,-2.598,0.204,193.843,4,0.329,1
14,週刊少年ゾンビ,SODA POP FANCLUB 3,Cidergirl,2020/1/15,253000,1,0.589,0.000587,0.88,0.000582,0.245,-5.423,0.111,142.92,4,0.6,1
15,カシスオレンジ,DOPAMINE,Laughing Hick,2019/12/18,219904,1,0.583,0.0242,0.732,0,0.104,-4.357,0.0535,125.536,4,0.589,1
16,悲しみなんて笑い飛ばせ,ファンキーモンキーベイビーズ 4,FUNKY MONKEY BABYS,2011/12/21,314800,1,0.506,0.0238,0.988,0,0.288,-1.726,0.0528,168.055,4,0.857,1
17,Oto No Naru Houe,Milk,Goose house,2015/2/25,216173,1,0.677,0.576,0.875,0,0.232,-4.023,0.0391,142.942,4,0.85,1
18,夕暮れに映して,From DROPOUT,Kiro Akiyama,2020/3/3,218080,1,0.535,0.000108,0.876,0.106,0.147,-2.657,0.0354,110.048,4,0.601,1
19,Question,Question,Amber’s,2021/4/16,212786,0,0.686,0.0405,0.858,0.0000426,0.225,-3.999,0.0356,100.041,4,0.805,1
20,オーシャンゼリゼ,アウトドア日和,宮 武弘,2018/4/25,224306,1,0.66,0.0141,0.885,0.0000409,0.138,-3.543,0.0283,120.019,4,0.768,1
21,シンデレラ,シンデレラ,Cidergirl,2021/10/8,212310,1,0.572,0.0141,0.955,0,0.315,-2.617,0.0626,129.981,4,0.717,1
22,Talking Box,檸檬の日々,WurtS,2021/3/17,141933,1,0.787,0.00477,0.718,0.00107,0.0895,-6.17,0.0395,140.002,4,0.47,1
23,W / X / Y,W / X / Y,Tani Yuuki,2021/5/26,279100,1,0.478,0.155,0.777,0,0.327,-4.48,0.0753,103.832,3,0.671,1
24,KAIBUTSUSAN,Anataninaritakatta,Ken Hirai,2021/5/12,246960,1,0.8,0.045,0.701,0,0.115,-3.721,0.0504,128.007,4,0.574,1
