,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,My Eyes,My Eyes,Grace Aimi,2021-02-26,177630,35,2,1,0.833,0.0531,0.668,1.31e-05,0.0521,-3.6,0.082,87.997,4,0.654,cloudy
1,Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,8,9,1,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4,0.646,cloudy
2,Look Up At The Stars,Wonder,Shawn Mendes,2020-12-04,211850,58,2,1,0.359,0.0576,0.585,0.0,0.194,-4.722,0.0374,168.026,4,0.447,cloudy
3,Somebody To You,Meet The Vamps,The Vamps,2014-01-01,185093,52,3,1,0.523,0.0705,0.817,0.0,0.33,-5.949,0.0369,171.98,4,0.858,cloudy
4,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,19,5,1,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4,0.719,cloudy
5,俺たちの明日,STARTING OVER,Elephant Kashimashi,2008-01-30,377626,51,4,1,0.579,0.048,0.803,0.0,0.392,-4.5,0.0355,122.055,4,0.555,cloudy
6,Routine,Routine,TEN's UNIQUE,2021-04-07,255000,19,1,0,0.472,0.369,0.483,0.0,0.0897,-9.378,0.248,151.54,4,0.733,cloudy
7,少年時代 - Remastered 2018,ハンサムボーイ,Yosui Inoue,1990,201222,53,9,1,0.395,0.952,0.424,0.0052,0.0701,-6.581,0.0284,83.939,4,0.322,cloudy
8,今日までそして明日から,よしだたくろう シングル・コレクション,Takuro Yoshida,2013-02-20,182400,39,5,1,0.622,0.767,0.327,0.0,0.0615,-12.453,0.0436,93.378,4,0.459,cloudy
9,じゃむ (feat. iri),じゃむ (feat. iri),Mamiko Suzuki,2021-07-09,290089,37,0,1,0.698,0.623,0.261,3.31e-05,0.17,-10.795,0.0462,90.007,4,0.385,cloudy
10,2:23 AM,2:23 AM,しゃろう,2021-02-19,196000,55,10,1,0.587,0.244,0.611,2.88e-05,0.238,-8.862,0.0739,179.951,4,0.499,cloudy
11,風をあつめて,風街ろまん,はっぴいえんど,2002-09-11,246333,42,4,1,0.724,0.652,0.457,5.08e-05,0.134,-7.64,0.0297,91.756,4,0.848,cloudy
12,Feel So Good,Kamisama,TEN's UNIQUE,2021-01-13,177000,0,2,1,0.765,0.219,0.775,0.0,0.276,-4.367,0.0369,94.022,4,0.849,cloudy
13,いい時間,ひとつになるとき,EVISBEATS,2012-07-11,337306,43,4,1,0.739,0.48,0.528,0.472,0.114,-8.56,0.0387,75.995,4,0.56,cloudy
14,いとしのエリー,Follow Your Heart E.P.,Rickie-G,2015-08-05,343000,33,0,1,0.634,0.581,0.396,0.0,0.847,-8.676,0.0321,124.989,4,0.305,cloudy
15,am08:59,Life is wonderful,Rickie-G,2007-12-05,300466,40,7,1,0.721,0.774,0.387,8.58e-05,0.103,-9.426,0.0449,81.056,4,0.502,cloudy
16,It Don't Matter,Donavon Frankenreiter,Donavon Frankenreiter,2004-01-01,186000,62,0,1,0.937,0.0952,0.528,1.1e-06,0.237,-6.305,0.0353,104.96,4,0.766,cloudy
17,Beat It - Demo,Michael Jackson's This Is It,Michael Jackson,2009,123413,32,1,0,0.763,0.43,0.24,0.0,0.286,-13.053,0.612,137.171,4,0.531,cloudy
18,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,84,2,1,0.781,0.474,0.445,0.0,0.184,-6.061,0.0295,78.998,4,0.591,cloudy
19,みんなってエブリワン!,みんなってエブリワン!,親指姫(池田エライザ),2021-01-14,192802,25,1,1,0.493,0.151,0.707,0.0,0.0797,-5.208,0.0517,80.305,4,0.518,cloudy
20,Presence I,Presence I,STUTS,2021-04-14,250508,44,2,1,0.607,0.469,0.654,0.00047,0.085,-5.915,0.0962,93.473,4,0.294,cloudy
21,Mr.Lonely,Detox,Mom,2019-05-22,219388,9,7,1,0.784,0.885,0.621,3.46e-05,0.191,-6.3,0.187,62.003,4,0.691,cloudy
22,mustard,COZY,chelmico,2021-04-16,159013,15,8,1,0.51,0.657,0.87,6.43e-05,0.0979,-7.34,0.409,154.513,4,0.45,cloudy
