,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,Pale Rain,Pale Rain,imase,2022-04-02,221460,53,6,1,0.7,0.035,0.648,0.000409,0.13,-8.711,0.0722,144.456,4,0.54,rainy
1,ダダリオ,ダダリオ,ZOOKARADERU,2022-09-28,288241,54,2,1,0.718,0.0212,0.785,6.94e-05,0.116,-5.916,0.0306,121.969,4,0.333,rainy
2,雨宿り,雨宿り,Penthouse,2022-07-20,272655,48,1,1,0.632,0.297,0.443,0.0,0.127,-7.56,0.0439,129.826,3,0.658,rainy
3,Ame(A),月の波形 ~Coupling & Unreleased works~,sakanaction,2015-08-05,211493,34,0,1,0.637,0.521,0.454,0.0,0.0542,-5.192,0.0389,133.973,4,0.696,rainy
4,雨にぬれても,雨にぬれても,G/amm,2022-07-20,224000,25,0,0,0.583,0.812,0.44,3.79e-06,0.102,-8.625,0.036,88.837,4,0.285,rainy
5,真夏の通り雨,Fantome,Hikaru Utada,2016-09-28,338346,45,8,0,0.288,0.797,0.329,0.0,0.121,-11.782,0.0309,145.661,4,0.551,rainy
6,ばらの花,TEAM ROCK,Quruli,2001-02-21,301106,50,8,1,0.662,0.014,0.615,0.406,0.58,-6.283,0.0347,125.066,4,0.679,rainy
7,Umbrella,artless,WONK,2022-05-11,330428,38,5,1,0.709,0.927,0.16,0.024,0.121,-15.462,0.0379,139.937,4,0.436,rainy
8,雨 [feat. (sic)boy],雨 [feat. (sic)boy],AAAMYYY,2022-06-01,381030,37,7,1,0.512,0.0341,0.855,0.0,0.32,-6.762,0.0571,137.974,4,0.415,rainy
9,天気雨 -Still Love me- (feat. ひかり),天気雨 -Still Love me- (feat. ひかり),Tokimeki Records,2022-06-22,201355,35,0,1,0.747,0.0437,0.639,0.000121,0.0629,-7.34,0.0288,118.01,4,0.775,rainy
10,東京,大衆音楽,PEOPLE 1,2019-12-27,198636,43,8,1,0.686,0.084,0.561,0.000102,0.0625,-9.594,0.0324,127.998,4,0.581,rainy
11,雨の日の午後は一人にしないで,雨の日の午後は一人にしないで,HWARYEON,2022-09-28,196864,22,6,0,0.709,0.861,0.368,0.00219,0.0868,-9.224,0.053,99.988,4,0.0384,rainy
12,雨,雨,Keishi Tanaka,2022-06-15,267575,34,7,1,0.633,0.206,0.681,0.00272,0.127,-8.33,0.0337,102.055,4,0.676,rainy
13,雨の日の道玄坂,雨の日の道玄坂,Jin Dogg,2022-10-05,204258,44,9,1,0.445,0.565,0.403,0.000449,0.0929,-10.312,0.0464,96.971,4,0.598,rainy
14,水色と空色,水色と空色,Fumiya Fujii,2022-05-25,281466,32,2,1,0.304,0.429,0.491,0.000659,0.289,-8.299,0.0293,174.748,4,0.216,rainy
15,LOUDER,LOUDER,SPiCYSOL,2022-06-08,235700,40,6,0,0.632,0.0664,0.388,0.0,0.292,-9.042,0.0493,91.092,4,0.284,rainy
16,Rain,FEEL GOOD,SIRUP,2019-05-29,241946,40,5,0,0.789,0.284,0.655,0.0,0.11,-5.663,0.149,111.986,4,0.799,rainy
17,WITH THE RAINBOW,WITH THE RAINBOW,CIRGO GRINCO,2022-06-12,256390,21,10,1,0.597,0.207,0.604,4.24e-06,0.11,-8.214,0.0422,179.997,4,0.7,rainy
18,かたつむり,かたつむり,Kiwokuza,2021-05-31,212500,10,6,1,0.75,0.734,0.31,0.0412,0.11,-11.747,0.0301,119.982,4,0.0966,rainy
19,雨のビート,雨のビート,sty,2021-06-04,202588,33,9,1,0.63,0.203,0.524,0.0,0.0833,-8.183,0.102,169.961,4,0.718,rainy
20,きみと雨,きみと雨,上野大樹,2022-06-29,247565,37,8,1,0.717,0.613,0.686,0.0,0.357,-7.362,0.033,110.992,4,0.695,rainy
21,すべからく通り雨,すべからく通り雨,グソクムズ,2021-11-10,220000,19,9,1,0.567,0.0124,0.597,0.0,0.323,-9.937,0.0338,121.11,4,0.604,rainy
22,月が涙を流す夜,月が涙を流す夜,Maica_n,2022-10-05,219666,32,7,1,0.533,0.0299,0.856,0.00132,0.0532,-4.979,0.0445,148.996,4,0.677,rainy
23,雨のせい、ぜんぶ,雨のせい、ぜんぶ,Zenya,2021-05-26,210000,15,8,1,0.67,0.732,0.506,9.19e-06,0.373,-7.002,0.271,84.878,4,0.338,rainy
24,チロルとポルノ,死ぬまで一生愛されてると思ってたよ,Creep Hyp,2012-04-18,218732,47,2,1,0.465,0.00771,0.819,0.0,0.165,-4.435,0.0329,149.976,4,0.828,rainy
