,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,きらり,Kirari Remixes (Asia Edition),Fujii Kaze,2022-01-14,231882,73,2,1,0.746,0.00803,0.764,0.0,0.357,-6.833,0.0462,116.982,4,0.701,sunny
1,おもかげ (produced by Vaundy),おもかげ (produced by Vaundy),milet,2021-12-17,188060,67,8,1,0.488,0.0258,0.638,2.24e-05,0.12,-4.502,0.058,207.906,4,0.713,sunny
2,キャラクター,Actor,Ryokuoushoku Shakai,2022-01-26,249426,59,5,1,0.65,0.15,0.913,0.0,0.345,-2.147,0.0758,124.025,4,0.594,sunny
3,だってアタシのヒーロー。,LiSA BEST -Day-,LiSA,2018-05-09,234266,0,8,1,0.532,0.0275,0.985,0.0,0.196,-1.528,0.129,94.47,4,0.321,sunny
4,ウィーアー! for the new world,ウィーゴー!,Hiroshi Kitadani,2011-11-16,239333,57,8,1,0.412,0.0344,0.948,0.0,0.0582,-2.797,0.102,167.893,4,0.51,sunny
5,Wake up!,GOLD SYMPHONY,AAA,2014-10-01,223760,55,1,1,0.444,0.0505,0.946,0.0,0.369,-2.423,0.0705,175.976,4,0.713,sunny
6,WINDING ROAD,ALL SINGLES BEST 2,KOBUKURO,2007-06-13,298066,53,5,1,0.411,0.19,0.674,0.0,0.189,-4.684,0.112,175.665,4,0.545,sunny
7,日曜日よりの使者,かつて天才だった俺たちへ,Creepy Nuts,2020-08-26,368586,47,0,1,0.592,0.00768,0.886,0.0,0.208,-2.717,0.0433,120.978,4,0.311,sunny
8,Dynamite,BE,BTS,2020-11-20,199053,12,6,0,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,sunny
9,レモンパイ,hope,Macaroni Empitsu,2020-04-01,217740,55,7,0,0.689,0.125,0.826,0.0,0.188,-4.021,0.0379,101.678,4,0.76,sunny
